candidate,frequency,sample_product_names
Rancrisp,33,Rancrisp Barbecue Flavoured Potato Chips | Rancrisp Cassava Chips Hot & Spicy | Rancrisp Crispy Batter Mix | Rancrisp Lightly Sea Salted Potato Chips
Promate,33,"Promate B5 Single Ruled Book,120 Pages | Promate B5 Square Ruled Book,80 Pages | Promate Single Ruled Cr Book,120 Pages | Promate Single Ruled Note Pad,100 Pages"
Nature'S,32,Nature'S Love Dried Blueberry | Nature'S Love Dried Goji Berry | Nature'S Love Roasted Almonds Salt & Pepper | Nature'S Love Walnuts
Ponds,32,Ponds Bright Beauty Daily Brightening Face Wash | Ponds Bright Beauty Serum Cream | Ponds Spf 55 Light Sunscreen | Ponds Super Light Moisturizing Gel
Highland,31,Highland Condensed Milk | Highland Gold Full Cream Milk Powder | Highland Plain Yoghurt | Highland Vanilla Ice Cream
Party,31,Party Hat Cartoon Candle Set 5 Pcs | Party Hat Happy Birth Day Blue Banner Large | Party Hat Magic Relighting Candles 10Pcs | Party Hat Party Candles 24Pcs
Party Hat,31,Party Hat Cartoon Candle Set 5 Pcs | Party Hat Happy Birth Day Blue Banner Large | Party Hat Magic Relighting Candles 10Pcs | Party Hat Party Candles 24Pcs
FLORA,31,"FLORA Facial Tissues 2PLY, 200s | FLORA Facial Tissues 2ply, 100s | FLORA Facial Tissues 2ply, 50s | FLORA Hygienic Wet Wipes, 10s"
Tiara,30,Tiara Chocolate Swiss Roll | Tiara Go Chok Choco Coated Sponge Cake Chocolate | Tiara Go Chok Choco Coated Sponge Cake Vanilla | Tiara Rollo Cake
Dreamron,30,Dreamron 5 Minutes Black Henna | Dreamron King Coconut Conditioner | Dreamron Leave On Conditioner | Dreamron Silicon Hair Treatment
Oateo,29,Oateo Baby Oats | Oateo Instant Oats | Oateo Muesli Tropical Mix | Oateo Rolled Oats
Sera,29,Sera Biryani Flavoured Noodles | Sera Chicken Flavoured Noodles | Sera Cream Of Chicken Quick Soup | Sera Vegetable Quick Soup
Mc,29,Mc Currie Chinese Chilli Paste | Mc Currie Maldive Fish Sambol | Mc Currie Pineapple Chutney | Mc Currie Sprats Badum
Koluu,29,Koluu Chicken Black Curry | Koluu Chicken Korma | Koluu Chicken Red Curry | Koluu Prawn/Fish Red Curry
